Name,FIPS,"% Language Spoken at Home | French, Haitian, or Cajun, 2021 [Estimated]"
"Bee County, TX",48025,0
"Belknap County, NH",33001,0.8325
"Bell County, KY",21013,0.077
"Bell County, TX",48027,0.5564
"Belmont County, OH",39013,0.2688
"Beltrami County, MN",27007,0.094
"Ben Hill County, GA",13017,0
"Benewah County, ID",16009,0.1974
"Bennett County, SD",46007,0
"Bennington County, VT",50003,0.8004
"Benson County, ND",38005,0.1467
"Bent County, CO",08011,0
"Benton County, AR",05007,0.0311
"Benton County, IA",19011,0.2796
"Benton County, IN",18007,0
"Benton County, MN",27009,0.4049
"Benton County, MO",29015,0.0599
"Benton County, MS",28009,0.1148
"Benton County, OR",41003,0.6773
"Benton County, TN",47005,0.3326
"Benton County, WA",53005,0.2076
"Benzie County, MI",26019,0.1547
"Bergen County, NJ",34003,0.4631
"Berkeley County, SC",45015,0.4367
"Berkeley County, WV",54003,0.3792
"Berks County, PA",42011,0.3332
"Berkshire County, MA",25003,0.7263
"Bernalillo County, NM",35001,0.4413
"Berrien County, GA",13019,0
"Berrien County, MI",26021,0.2704
"Bertie County, NC",37015,0.0222
"Bethel Census Area, AK",02050,0.1213
"Bexar County, TX",48029,0.2503
"Bibb County, AL",01007,0
"Bibb County, GA",13021,0.7167
"Bienville Parish, LA",22013,0.432
"Big Horn County, MT",30003,0.12
"Big Horn County, WY",56003,0
"Big Stone County, MN",27011,0
"Billings County, ND",38007,0
"Bingham County, ID",16011,0.1217
"Black Hawk County, IA",19013,1.1489
"Blackford County, IN",18009,0
"Bladen County, NC",37017,0.3287
"Blaine County, ID",16013,0.3369
"Blaine County, MT",30005,0
"Blaine County, NE",31009,0
"Blaine County, OK",40011,0
"Blair County, PA",42013,0.2396
"Blanco County, TX",48031,0
"Bland County, VA",51021,0
"Bleckley County, GA",13023,0
"Bledsoe County, TN",47007,0.088
"Blount County, AL",01009,0.1733
"Blount County, TN",47009,0.1417
"Blue Earth County, MN",27013,0.0516
"Boise County, ID",16015,0.041
"Bolivar County, MS",28011,0.2451
"Bollinger County, MO",29017,0.2582
"Bon Homme County, SD",46009,0.0763
"Bond County, IL",17005,0.077
"Bonner County, ID",16017,0.141
"Bonneville County, ID",16019,0.1039
"Boone County, AR",05009,0.3519
"Boone County, IA",19015,0.1374
"Boone County, IL",17007,0.0733
"Boone County, IN",18011,0.1992
"Boone County, KY",21015,0.8338
"Boone County, MO",29019,0.3403
"Boone County, NE",31011,0.2244
"Boone County, WV",54005,0.0485
"Borden County, TX",48033,1.6327
"Bosque County, TX",48035,0
"Bossier Parish, LA",22015,0.0878
"Botetourt County, VA",51023,0.478
"Bottineau County, ND",38009,0
"Boulder County, CO",08013,0.5618
"Boundary County, ID",16021,0.4726
"Bourbon County, KS",20011,0.9919
"Bourbon County, KY",21017,0.0583
"Bowie County, TX",48037,0.033
"Bowman County, ND",38011,0
"Box Butte County, NE",31013,0.0596
"Box Elder County, UT",49003,0.1983
"Boyd County, KY",21019,0.2751
"Boyd County, NE",31015,0
"Boyle County, KY",21021,0.1145
"Bracken County, KY",21023,0.2342
"Bradford County, FL",12007,1.3584
"Bradford County, PA",42015,0.1534
"Bradley County, AR",05011,0
"Bradley County, TN",47011,0.166
"Branch County, MI",26023,0.1173
"Brantley County, GA",13025,0.0112
"Braxton County, WV",54007,0
"Brazoria County, TX",48039,0.3096
"Brazos County, TX",48041,0.1475
"Breathitt County, KY",21025,0.2457
"Breckinridge County, KY",21027,0.1261
"Bremer County, IA",19017,0.149
"Brevard County, FL",12009,0.7553
"Brewster County, TX",48043,0.3298
"Briscoe County, TX",48045,1.1321
"Bristol Bay Borough, AK",02060,0
"Bristol County, MA",25005,1.7336
"Bristol County, RI",44001,0.6252
"Bristol city, VA",51520,1.2247
"Broadwater County, MT",30007,0
"Bronx County, NY",36005,1.8953
"Brooke County, WV",54009,0.1968
"Brookings County, SD",46011,0.7499
"Brooks County, GA",13027,0
"Brooks County, TX",48047,0
"Broome County, NY",36007,0.541
"Broomfield County, CO",08014,0.214
"Broward County, FL",12011,6.9225
"Brown County, IL",17009,0.1127
"Brown County, IN",18013,0.0482
"Brown County, KS",20013,0.0225
"Brown County, MN",27015,0.038
"Brown County, NE",31017,4.0679
"Brown County, OH",39015,0.1032
"Brown County, SD",46013,0.1755
"Brown County, TX",48049,0.0723
"Brown County, WI",55009,0.1835
"Brule County, SD",46015,0.0407
"Brunswick County, NC",37019,0.177
"Brunswick County, VA",51025,0
"Bryan County, GA",13029,1.7433
"Bryan County, OK",40013,0.1662
"Buchanan County, IA",19019,0.1421
"Buchanan County, MO",29021,0.1913
"Buchanan County, VA",51027,0.1244
"Buckingham County, VA",51029,0.0428
"Bucks County, PA",42017,0.5483
"Buena Vista County, IA",19021,0.0705
"Buena Vista city, VA",51530,0
"Buffalo County, NE",31019,0.3868
"Buffalo County, SD",46017,0
"Buffalo County, WI",55011,0.0647
"Bullitt County, KY",21029,0.0296
"Bulloch County, GA",13031,0.2239
"Bullock County, AL",01011,0.3666
"Buncombe County, NC",37021,0.28
"Bureau County, IL",17011,0.0484
"Burke County, GA",13033,0.175
"Burke County, NC",37023,0.078
"Burke County, ND",38013,0
"Burleigh County, ND",38015,0.5709
"Burleson County, TX",48051,0.2083
"Burlington County, NJ",34005,0.7682
"Burnet County, TX",48053,0.0066
"Burnett County, WI",55013,0.0548
"Burt County, NE",31021,0
"Butler County, AL",01013,0.1948
"Butler County, IA",19023,0
"Butler County, KS",20015,0.1367
"Butler County, KY",21031,0.0918
"Butler County, MO",29023,0.1177
"Butler County, NE",31023,0.0809
"Butler County, OH",39017,0.4291
"Butler County, PA",42019,0.3408
"Butte County, CA",06007,0.3257
"Butte County, ID",16023,0
"Butte County, SD",46019,0.1458
"Butts County, GA",13035,0.6318
"Cabarrus County, NC",37025,0.7219
"Cabell County, WV",54011,0.1768
"Cabo Rojo Municipio, PR",72023,0
"Cache County, UT",49005,0.3728
"Caddo County, OK",40015,0.2616
"Caddo Parish, LA",22017,0.2562
"Caguas Municipio, PR",72025,0.0531
"Calaveras County, CA",06009,0.0296
"Calcasieu Parish, LA",22019,1.6741
"Caldwell County, KY",21033,0
"Caldwell County, MO",29025,0
"Caldwell County, NC",37027,0.1118
"Caldwell County, TX",48055,0.0442
"Caldwell Parish, LA",22021,0
"Caledonia County, VT",50005,1.0763
"Calhoun County, AL",01015,0.0924
"Calhoun County, AR",05013,0.6943
"Calhoun County, FL",12013,0.6443
"Calhoun County, GA",13037,0.6988
"Calhoun County, IA",19025,0.033
"Calhoun County, IL",17013,0
"Calhoun County, MI",26025,0.1059
"Calhoun County, MS",28013,0
"Calhoun County, SC",45017,0.4128
"Calhoun County, TX",48057,0
"Calhoun County, WV",54013,0.147
"Callahan County, TX",48059,0.292
"Callaway County, MO",29027,0.1383
"Calloway County, KY",21035,0.0964
"Calumet County, WI",55015,0.1494
"Calvert County, MD",24009,0.18
"Camas County, ID",16025,0
"Cambria County, PA",42021,0.2524
"Camden County, GA",13039,0.3902
"Camden County, MO",29029,0.7201
"Camden County, NC",37029,1.0054
"Camden County, NJ",34007,0.5599
"Cameron County, PA",42023,0.2097
"Cameron County, TX",48061,0.0731
"Cameron Parish, LA",22023,1.9286
"Camp County, TX",48063,0.858
"Campbell County, KY",21037,0.245
"Campbell County, SD",46021,0
"Campbell County, TN",47013,0.0269
"Campbell County, VA",51031,0.1331
"Campbell County, WY",56005,0.0366
"Camuy Municipio, PR",72027,0
"Canadian County, OK",40017,0.3186
"Candler County, GA",13043,0.2167
"Cannon County, TN",47015,0.3469
"Canyon County, ID",16027,0.1944
"Canóvanas Municipio, PR",72029,0
"Cape Girardeau County, MO",29031,0.252
"Cape May County, NJ",34009,0.3818
"Carbon County, MT",30009,0.1914
"Carbon County, PA",42025,0.1025
"Carbon County, UT",49007,0
"Carbon County, WY",56007,0.2632
"Caribou County, ID",16029,0
"Carlisle County, KY",21039,0.2054
"Carlton County, MN",27017,0.2421
"Carolina Municipio, PR",72031,0.094
"Caroline County, MD",24011,0.907
"Caroline County, VA",51033,0.1152
"Carroll County, AR",05015,0.2145
"Carroll County, GA",13045,0.4889
"Carroll County, IA",19027,0
"Carroll County, IL",17015,0.193
"Carroll County, IN",18015,0.3001
"Carroll County, KY",21041,0
"Carroll County, MD",24013,0.267
"Carroll County, MO",29033,0.0622
"Carroll County, MS",28015,0
"Carroll County, NH",33003,0.6912
"Carroll County, OH",39019,0.1529
"Carroll County, TN",47017,0.1156
"Carroll County, VA",51035,0
"Carson City, NV",32510,0.636
"Carson County, TX",48065,0.09
"Carter County, KY",21043,0.0039
"Carter County, MO",29035,0
"Carter County, MT",30011,0
"Carter County, OK",40019,0.1134
"Carter County, TN",47019,0.0577
"Carteret County, NC",37031,0.3058
"Carver County, MN",27019,0.3689
"Cascade County, MT",30013,0.1871
"Casey County, KY",21045,0
"Cass County, IA",19029,0.2124
"Cass County, IL",17017,1.8597
"Cass County, IN",18017,0.4127
"Cass County, MI",26027,0.1153
"Cass County, MN",27021,0.129
"Cass County, MO",29037,0.0607
"Cass County, ND",38017,0.4537
"Cass County, NE",31025,0
"Cass County, TX",48067,0.1552
"Cassia County, ID",16031,0
"Castro County, TX",48069,0
"Caswell County, NC",37033,0.2107
"Catahoula Parish, LA",22025,0.1001
"Catawba County, NC",37035,0.1718
"Cataño Municipio, PR",72033,0
"Catoosa County, GA",13047,0.335
"Catron County, NM",35003,2.0306
"Cattaraugus County, NY",36009,0.1346
"Cavalier County, ND",38019,0.5469
"Cayey Municipio, PR",72035,0
"Cayuga County, NY",36011,0.1497
"Cecil County, MD",24015,0.449
"Cedar County, IA",19031,0.0057
"Cedar County, MO",29039,0.1305
"Cedar County, NE",31027,0
"Ceiba Municipio, PR",72037,0
"Centre County, PA",42027,0.454
"Cerro Gordo County, IA",19033,0.1815
"Chaffee County, CO",08015,1.5763
"Chambers County, AL",01017,0.0667
"Chambers County, TX",48071,0.5967
"Champaign County, IL",17019,1.3573
"Champaign County, OH",39021,0.1096
"Chariton County, MO",29041,0.2023
"Charles City County, VA",51036,0
"Charles County, MD",24017,0.2583
"Charles Mix County, SD",46023,0
"Charleston County, SC",45019,0.3838
"Charlevoix County, MI",26029,0.171
"Charlotte County, FL",12015,1.3836
"Charlotte County, VA",51037,0.55
"Charlottesville city, VA",51540,0.6627
"Charlton County, GA",13049,0.09
"Chase County, KS",20017,0.0816
"Chase County, NE",31029,0
"Chatham County, GA",13051,0.86
"Chatham County, NC",37037,0.3627
"Chattahoochee County, GA",13053,1.3243
"Chattooga County, GA",13055,0.0217
"Chautauqua County, KS",20019,0
"Chautauqua County, NY",36013,0.2243
"Chaves County, NM",35005,0.2323
"Cheatham County, TN",47021,0.2156
"Cheboygan County, MI",26031,0.3792
"Chelan County, WA",53007,0.2145
"Chemung County, NY",36015,0.3405
"Chenango County, NY",36017,0.3303
"Cherokee County, AL",01019,0
"Cherokee County, GA",13057,0.4121
"Cherokee County, IA",19035,0
"Cherokee County, KS",20021,0.1233
"Cherokee County, NC",37039,0.0037
"Cherokee County, OK",40021,0
"Cherokee County, SC",45021,0.1381
"Cherokee County, TX",48073,0.0389
"Cherry County, NE",31031,0.2987
"Chesapeake city, VA",51550,0.4755
"Cheshire County, NH",33005,0.6108
"Chester County, PA",42029,0.3951
"Chester County, SC",45023,0.0789
"Chester County, TN",47023,0.0063
"Chesterfield County, SC",45025,0.0577
"Chesterfield County, VA",51041,0.5163
"Cheyenne County, CO",08017,0
"Cheyenne County, KS",20023,0
"Cheyenne County, NE",31033,0.0227
"Chickasaw County, IA",19037,0.0178
"Chickasaw County, MS",28017,0
"Chicot County, AR",05017,0
"Childress County, TX",48075,0
"Chilton County, AL",01021,0
"Chippewa County, MI",26033,0.1044
"Chippewa County, MN",27023,0
"Chippewa County, WI",55017,0.1897
"Chisago County, MN",27025,0.1328
"Chittenden County, VT",50007,2.0821
"Choctaw County, AL",01023,0.4906
"Choctaw County, MS",28019,0
"Choctaw County, OK",40023,0
"Chouteau County, MT",30015,0.1865
"Chowan County, NC",37041,0.5521
"Christian County, IL",17021,0.0587
"Christian County, KY",21047,0.1967
"Christian County, MO",29043,0.0969
"Churchill County, NV",32001,0.3878
"Ciales Municipio, PR",72039,0
"Cibola County, NM",35006,0.8579
"Cidra Municipio, PR",72041,0
"Cimarron County, OK",40025,0
"Citrus County, FL",12017,0.4561
"Clackamas County, OR",41005,0.358
"Claiborne County, MS",28021,0.1307
"Claiborne County, TN",47025,0.1471
"Claiborne Parish, LA",22027,0.4164
"Clallam County, WA",53009,0.2026
"Clare County, MI",26035,0.1176
"Clarendon County, SC",45027,0.1608
"Clarion County, PA",42031,0.1457
"Clark County, AR",05019,0.0287
"Clark County, ID",16033,0.1052
"Clark County, IL",17023,0
"Clark County, IN",18019,0.194
"Clark County, KS",20025,0.6749
"Clark County, KY",21049,0.0355
"Clark County, MO",29045,0
"Clark County, NV",32003,0.4166
"Clark County, OH",39023,0.1781
"Clark County, SD",46025,0
"Clark County, WA",53011,0.2115
"Clark County, WI",55019,0.041
"Clarke County, AL",01025,0.0045
"Clarke County, GA",13059,0.3071
"Clarke County, IA",19039,0
"Clarke County, MS",28023,0.1231
"Clarke County, VA",51043,0.4173
"Clatsop County, OR",41007,0.4074
"Clay County, AL",01027,0.0717
"Clay County, AR",05021,0
"Clay County, FL",12019,0.6085
"Clay County, GA",13061,0
"Clay County, IA",19041,0
"Clay County, IL",17025,0.0161
"Clay County, IN",18021,0.0904
"Clay County, KS",20027,0.5915
"Clay County, KY",21051,0.0798
"Clay County, MN",27027,0.1634
"Clay County, MO",29047,0.3274
"Clay County, MS",28025,0
"Clay County, NC",37043,0.3368
"Clay County, NE",31035,0.0352
"Clay County, SD",46027,0.0456
"Clay County, TN",47027,0
"Clay County, TX",48077,0.0101
"Clay County, WV",54015,0
"Clayton County, GA",13063,1.0011
"Clayton County, IA",19043,0.0482
"Clear Creek County, CO",08019,0.0323
"Clearfield County, PA",42033,0.1989
"Clearwater County, ID",16035,0.0476
"Clearwater County, MN",27029,0.036
"Cleburne County, AL",01029,0.0213
"Cleburne County, AR",05023,0
"Clermont County, OH",39025,0.3771
"Cleveland County, AR",05025,0
"Cleveland County, NC",37045,0.1067
"Cleveland County, OK",40027,0.4186
"Clinch County, GA",13065,0.016
"Clinton County, IA",19045,0.0392
"Clinton County, IL",17027,0.0142
"Clinton County, IN",18023,0.0775
"Clinton County, KY",21053,0.157
"Clinton County, MI",26037,0.2012
"Clinton County, MO",29049,0.303
"Clinton County, NY",36019,1.6974
"Clinton County, OH",39027,0.2081
"Clinton County, PA",42035,0.1506
"Cloud County, KS",20029,0.0123
"Coahoma County, MS",28027,0.0634
"Coal County, OK",40029,0
"Coamo Municipio, PR",72043,0
"Cobb County, GA",13067,1.2345
"Cochise County, AZ",04003,0.3518
"Cochran County, TX",48079,0
"Cocke County, TN",47029,0.1252
"Coconino County, AZ",04005,0.1602
"Codington County, SD",46029,0.0339
"Coffee County, AL",01031,0.1026
"Coffee County, GA",13069,0.2346
"Coffee County, TN",47031,0.0517
"Coffey County, KS",20031,0.0389
"Coke County, TX",48081,0
"Colbert County, AL",01033,0.0465
"Cole County, MO",29051,0.2916
"Coleman County, TX",48083,0.103
"Coles County, IL",17029,0.1264
"Colfax County, NE",31037,0
"Colfax County, NM",35007,0.3849
"Colleton County, SC",45029,0.0595
"Collier County, FL",12021,4.5215
"Collin County, TX",48085,0.6059
"Collingsworth County, TX",48087,0
"Colonial Heights city, VA",51570,0.1963
"Colorado County, TX",48089,0
"Colquitt County, GA",13071,0
"Columbia County, AR",05027,0.0771
"Columbia County, FL",12023,0.9333
"Columbia County, GA",13073,0.2059
"Columbia County, NY",36021,1.1002
"Columbia County, OR",41009,0.1734
"Columbia County, PA",42037,0.0946
"Columbia County, WA",53013,0
"Columbia County, WI",55021,0.1822
"Columbiana County, OH",39029,0.2637
"Columbus County, NC",37047,0.6336
"Colusa County, CA",06011,0.08
"Comal County, TX",48091,0.1441
"Comanche County, KS",20033,0
"Comanche County, OK",40031,0.4163
"Comanche County, TX",48093,0
"Comerío Municipio, PR",72045,0
"Concho County, TX",48095,0
"Concordia Parish, LA",22029,0.4969
"Conecuh County, AL",01035,0
"Conejos County, CO",08021,0.0533
"Contra Costa County, CA",06013,0.4613
"Converse County, WY",56009,0.4359
"Conway County, AR",05029,0
"Cook County, GA",13075,0.0247
"Cook County, IL",17031,0.5195
"Cook County, MN",27031,0.0385
"Cooke County, TX",48097,0.0027
"Cooper County, MO",29053,0.0898
"Coos County, NH",33007,5.9127
"Coos County, OR",41011,0.0444
"Coosa County, AL",01037,0
"Copiah County, MS",28029,0.1124
"Corozal Municipio, PR",72047,0
"Corson County, SD",46031,0
"Cortland County, NY",36023,0.21
"Coryell County, TX",48099,0.173
"Coshocton County, OH",39031,0.1699
"Costilla County, CO",08023,0
"Cottle County, TX",48101,0
"Cotton County, OK",40033,0
"Cottonwood County, MN",27033,0.0097
"Covington County, AL",01039,0.0691
"Covington County, MS",28031,0.2795
"Covington city, VA",51580,0
"Coweta County, GA",13077,0.5255
"Cowley County, KS",20035,0.0061
"Cowlitz County, WA",53015,0.1988
"Craig County, OK",40035,0
"Craig County, VA",51045,0
"Craighead County, AR",05031,0.7355
"Crane County, TX",48103,0
"Craven County, NC",37049,0.3589
"Crawford County, AR",05033,0.0507
"Crawford County, GA",13079,0.312
"Crawford County, IA",19047,0.0375
"Crawford County, IL",17033,0.0908
"Crawford County, IN",18025,0
"Crawford County, KS",20037,0.2851
"Crawford County, MI",26039,0.243
"Crawford County, MO",29055,0
"Crawford County, OH",39033,0.1774
"Crawford County, PA",42039,0.2826
"Crawford County, WI",55023,0.2611
"Creek County, OK",40037,0.0179
"Crenshaw County, AL",01041,0.0995
"Crisp County, GA",13081,0.1374
"Crittenden County, AR",05035,0.0539
"Crittenden County, KY",21055,0.3321
"Crockett County, TN",47033,0
"Crockett County, TX",48105,0
"Crook County, OR",41013,0
"Crook County, WY",56011,0.0426
"Crosby County, TX",48107,0
"Cross County, AR",05037,0.11
"Crow Wing County, MN",27035,0.1206
"Crowley County, CO",08025,0
"Culberson County, TX",48109,0
"Culebra Municipio, PR",72049,0.3521
"Cullman County, AL",01043,0.121
"Culpeper County, VA",51047,0.8394
"Cumberland County, IL",17035,0
"Cumberland County, KY",21057,0
"Cumberland County, ME",23005,1.8046
"Cumberland County, NC",37051,0.6606
"Cumberland County, NJ",34011,0.6067
"Cumberland County, PA",42041,0.476
"Cumberland County, TN",47035,0.0595
"Cumberland County, VA",51049,0
"Cuming County, NE",31039,0
"Currituck County, NC",37053,0.039
"Curry County, NM",35009,0.1297
"Curry County, OR",41015,0.3071
"Custer County, CO",08027,0.5632
"Custer County, ID",16037,0.0251
"Custer County, MT",30017,0.5452
"Custer County, NE",31041,0.0591
"Custer County, OK",40039,0
"Custer County, SD",46033,0.1885
"Cuyahoga County, OH",39035,0.3965
"Dade County, GA",13083,0.1504
"Dade County, MO",29057,0
"Daggett County, UT",49009,0
"Dakota County, MN",27037,0.4979
"Dakota County, NE",31043,0
"Dale County, AL",01045,0.3564
"Dallam County, TX",48111,0
"Dallas County, AL",01047,0.1067
"Dallas County, AR",05039,0.3191
"Dallas County, IA",19049,0.4624
"Dallas County, MO",29059,0.1546
"Dallas County, TX",48113,0.4855
"Dane County, WI",55025,0.3072
"Daniels County, MT",30019,1.3366
"Danville city, VA",51590,0.1179
"Dare County, NC",37055,0.4077
"Darke County, OH",39037,0.1352
"Darlington County, SC",45031,0.365
"Dauphin County, PA",42043,0.486
"Davidson County, NC",37057,0.0994
"Davidson County, TN",47037,0.5558
"Davie County, NC",37059,0.0836
"Daviess County, IN",18027,0.8521
"Daviess County, KY",21059,0.037
"Daviess County, MO",29061,0
"Davis County, IA",19051,0.2568
"Davis County, UT",49011,0.4164
"Davison County, SD",46035,0
"Dawes County, NE",31045,0.0244
"Dawson County, GA",13085,0
"Dawson County, MT",30021,0.0482
"Dawson County, NE",31047,0.028
"Dawson County, TX",48115,0
"Day County, SD",46037,0
"De Baca County, NM",35011,0.4792
"De Soto Parish, LA",22031,0.2061
"De Witt County, IL",17039,0.148
"DeKalb County, AL",01049,0.052
"DeKalb County, GA",13089,1.0447
"DeKalb County, IL",17037,0.1769
"DeKalb County, IN",18033,0.047
"DeKalb County, MO",29063,0.0423
"DeKalb County, TN",47041,0.1314
"DeSoto County, FL",12027,0.6425
"DeSoto County, MS",28033,0.2445
"DeWitt County, TX",48123,0.0159
"Deaf Smith County, TX",48117,0
"Dearborn County, IN",18029,0.1023
"Decatur County, GA",13087,0.0774
"Decatur County, IA",19053,0.1092
"Decatur County, IN",18031,0.0561
"Decatur County, KS",20039,0
"Decatur County, TN",47039,0.1176
"Deer Lodge County, MT",30023,0
"Defiance County, OH",39039,0.2827
"Del Norte County, CA",06015,0.1669
"Delaware County, IA",19055,0
"Delaware County, IN",18035,0.0933
"Delaware County, NY",36025,0.4909
"Delaware County, OH",39041,0.2682
"Delaware County, OK",40041,0.0344
"Delaware County, PA",42045,0.9981
"Delta County, CO",08029,0.0686
"Delta County, MI",26041,0.0884
"Delta County, TX",48119,0
"Denali Borough, AK",02068,0.4634
"Dent County, MO",29065,0.1909
"Denton County, TX",48121,0.4795
"Denver County, CO",08031,0.5008
"Des Moines County, IA",19057,0.3617
"Deschutes County, OR",41017,0.2555
"Desha County, AR",05041,0
